Neighborhood,Borough,Latitude,Longitude,Cluster label,1st Most Common,2nd Most Common,3rd Most Common,4th Most Common,5th Most Common,6th Most Common,7th Most Common,8th Most Common,9th Most Common,10th Most Common
South Core,Downtown Toronto,43.646481,-79.37493,5,Sandwich Place,Italian Restaurant,Coffee Shop,Cocktail Bar,Japanese Restaurant,Beer Bar,Bank,Bakery,Café,Hotel
"South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens",Etobicoke,43.8021006,-79.4206051,1,Korean Restaurant,Japanese Restaurant,Paper / Office Supplies Store,Chinese Restaurant,Burger Joint,Seafood Restaurant,Sandwich Place,Restaurant,Rental Car Location,Supermarket
St. James Town,Downtown Toronto,43.6694032,-79.3727041,0,Coffee Shop,Pizza Place,Hotel,Café,Pet Store,Diner,Breakfast Spot,Bistro,Beer Store,Restaurant
"St. James Town, Cabbagetown",Downtown Toronto,43.6694032,-79.3727041,0,Coffee Shop,Pizza Place,Hotel,Café,Pet Store,Diner,Breakfast Spot,Bistro,Beer Store,Restaurant
"Steeles West, L'Amoreaux West",Scarborough,43.8161778,-79.3145378,1,Playground,Yoga Studio,Ethiopian Restaurant,Dog Run,Doner Restaurant,Donut Shop,Egyptian Restaurant,Electronics Store,Escape Room,Event Space
Studio District,East Toronto,43.649210100000005,-79.38802646443793,3,Coffee Shop,Café,Hotel,Sushi Restaurant,Pizza Place,Steakhouse,Concert Hall,Restaurant,Shoe Store,Burrito Place
"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park",Central Toronto,43.6816776,-79.3905037,1,Italian Restaurant,Coffee Shop,Gym,Spa,Thai Restaurant,Tea Room,Bakery,Bank,Bar,Furniture / Home Store
"The Annex, North Midtown, Yorkville",Central Toronto,43.6703377,-79.407117,1,Grocery Store,Pizza Place,Park,Gym,Thai Restaurant,Burrito Place,Metro Station,Ramen Restaurant,Korean Restaurant,Fried Chicken Joint
The Beaches,East Toronto,43.6710244,-79.296712,0,Beach,Coffee Shop,Park,Breakfast Spot,Pub,Japanese Restaurant,Bar,Dance Studio,Bank,Sandwich Place
The Danforth  East,East York,43.6881713,-79.3018156,1,Pizza Place,Skating Rink,Bus Line,Pharmacy,Grocery Store,Sandwich Place,Mexican Restaurant,Middle Eastern Restaurant,French Restaurant,Restaurant
"The Danforth West, Riverdale",East Toronto,43.6864333,-79.3003555,1,Bus Line,Pharmacy,Grocery Store,Bank,Fried Chicken Joint,Café,Middle Eastern Restaurant,Sushi Restaurant,French Restaurant,Caribbean Restaurant
"The Kingsway, Montgomery Road, Old Mill North",Etobicoke,43.6473811,-79.5113328,0,Coffee Shop,Pub,Italian Restaurant,Bank,Sushi Restaurant,Dessert Shop,Breakfast Spot,Café,Sporting Goods Shop,Pharmacy
Thorncliffe Park,East York,43.704553,-79.3454074,1,Sandwich Place,Turkish Restaurant,Afghan Restaurant,Coffee Shop,Indian Restaurant,Fast Food Restaurant,Pizza Place,Pharmacy,Supermarket,Bank
"Toronto Dominion Centre, Design Exchange",Downtown Toronto,43.6473768,-79.3813719429129,3,Coffee Shop,Hotel,Café,Asian Restaurant,Sandwich Place,Pharmacy,Restaurant,American Restaurant,Deli / Bodega,Japanese Restaurant
"University of Toronto, Harbord",Downtown Toronto,43.663461999999996,-79.39775965337452,0,Café,Coffee Shop,Japanese Restaurant,Park,Sandwich Place,Bar,College Gym,Noodle House,College Arts Building,Pub
Upper Rouge,Scarborough,43.8100009,-79.1855922,1,Home Service,Park,Trail,Yoga Studio,Ethiopian Restaurant,Doner Restaurant,Donut Shop,Egyptian Restaurant,Electronics Store,Escape Room
Victoria Village,North York,43.732658,-79.3111892,1,Spa,Thai Restaurant,Bus Line,Middle Eastern Restaurant,Flower Shop,Donut Shop,Egyptian Restaurant,Electronics Store,Escape Room,Ethiopian Restaurant
Westmount,Etobicoke,42.9510358,-81.2898857,1,Coffee Shop,Juice Bar,Italian Restaurant,Pharmacy,Market,Pizza Place,Food & Drink Shop,Mobile Phone Shop,Chinese Restaurant,Movie Theater
Weston,York,43.7001608,-79.5162474,1,Train Station,Diner,Skating Rink,Laundromat,Sandwich Place,Fried Chicken Joint,Middle Eastern Restaurant,Restaurant,Discount Store,Café
"Wexford, Maryvale",Scarborough,43.7453767,-79.2947155,1,Burger Joint,Middle Eastern Restaurant,Pizza Place,Bakery,Gas Station,Restaurant,Smoke Shop,Korean Restaurant,Sandwich Place,Grocery Store
Willowdale South,North York,43.7615095,-79.4109234,0,Coffee Shop,Fast Food Restaurant,Japanese Restaurant,Grocery Store,Burger Joint,Gas Station,Pizza Place,Pharmacy,Gym,Bank
Willowdale West,North York,43.7615095,-79.4109234,0,Coffee Shop,Fast Food Restaurant,Japanese Restaurant,Grocery Store,Burger Joint,Gas Station,Pizza Place,Pharmacy,Gym,Bank
"Willowdale, Newtonbrook",North York,43.7615095,-79.4109234,0,Coffee Shop,Fast Food Restaurant,Japanese Restaurant,Grocery Store,Burger Joint,Gas Station,Pizza Place,Pharmacy,Gym,Bank
Woburn,Scarborough,43.7598243,-79.2252908,1,Fast Food Restaurant,Coffee Shop,Gym,Sandwich Place,Big Box Store,Beer Store,Taco Place,Discount Store,Bank,Department Store
Woodbine Heights,East York,43.69992,-79.319279,1,Skating Rink,Pharmacy,Bus Stop,Athletics & Sports,Intersection,Dance Studio,Park,Farmers Market,Fast Food Restaurant,Falafel Restaurant
York Mills West,North York,43.7440391,-79.406657,1,Restaurant,Coffee Shop,Optical Shop,Sandwich Place,Metro Station,Burrito Place,Indian Restaurant,Business Service,Pub,Intersection
"York Mills, Silver Hills",North York,43.7440391,-79.406657,1,Restaurant,Coffee Shop,Optical Shop,Sandwich Place,Metro Station,Burrito Place,Indian Restaurant,Business Service,Pub,Intersection
