Regency,Sub_District,Village,Latitude,Longitude,Number_College_Venues,Number_Office_Venues,Number_Coffee_Venues,Cluster_Label
Kota Yogyakarta,Danurejan,Suryatmajan,-7.79283925,110.36734046400404,13,34,44,2
Kota Yogyakarta,Gedongtengen,Sosromenduran,-7.78933775,110.36337628399158,12,33,46,2
Kota Yogyakarta,Gondokusuman,Demangan,-7.78487125,110.39002924673883,34,31,35,2
Kota Yogyakarta,Gondokusuman,Klitren,-7.7838210000000005,110.38338983475654,28,28,29,2
Kota Yogyakarta,Gondokusuman,Kotabaru,-7.7868300999999995,110.37343258872656,33,42,31,2
Kota Yogyakarta,Gondokusuman,Terban,-7.7792947,110.37554368700373,18,50,50,2
Kota Yogyakarta,Jetis,Cokrodiningratan,-7.778409599999999,110.36792337904586,17,26,34,2
Kota Yogyakarta,Jetis,Gowongan,-7.7859455,110.36591546774893,22,42,50,2
